	Label	Audio object	Audio file	Feature1	Feature2	Feature3	Feature4	Feature5	Feature6	Feature7	Feature8	Feature9	Feature10
0	n	<pydub.audio_segment.AudioSegment object at 0x10de8afd0>	./audios_train/n.wav	-417.3052077311456	139.22315794509194	23.347912798646586	10.969124747580166	-6.019697896359341	-8.550417842204224	-4.580750142768797	-8.980846364196097	1.1114239674292865	-0.8223649927470611
1	x	<pydub.audio_segment.AudioSegment object at 0x11210f908>	./audios_train/x.wav	-631.2381802890509	119.64649773123219	-4.998022737434879	1.5491819371616504	8.79231040337619	1.1415444430829655	12.225493856201362	8.91219566810961	-2.8646177961422827	-1.7313841894745137
2	d	<pydub.audio_segment.AudioSegment object at 0x11210fd68>	./audios_train/d.wav	-475.48425047930897	76.10375828271998	16.204933798510115	15.617059382403774	7.12602056816857	8.180125195715679	3.8633852510265028	4.971147920420143	2.5464354230541666	3.5379285789986326
3	b	<pydub.audio_segment.AudioSegment object at 0x11210fda0>	./audios_train/b.wav	-435.1291198500759	79.85321270420107	5.1388766055794255	27.115470658921573	5.443399663027045	22.194706725057237	-1.4792058327085753	16.22860808323452	-2.3820465420547277	11.811137870204048
4	c	<pydub.audio_segment.AudioSegment object at 0x112071c18>	./audios_train/c.wav	-249.62972520696516	113.45087913750976	34.24999962402759	10.566270054009953	-2.745410594829314	-0.308492097239695	-1.4176639149952068	-2.118619925871299	5.65217185570692	5.104941078445663
5	x	<pydub.audio_segment.AudioSegment object at 0x1121db630>	./audios_train/x.wav	-241.3707056833421	113.21306818258148	22.385826708201254	22.653936700473665	5.691346044210885	-3.272700028485244	1.365681018397264	-0.32222645299798336	6.962891283883856	1.8285392377529746
6	x	<pydub.audio_segment.AudioSegment object at 0x1121dbe48>	./audios_train/x.wav	-333.2256886806733	85.04939590113776	10.235662364522012	15.916683263672763	10.556421399832363	0.7022061625069698	0.5915492257738152	1.7981449261725513	2.1055584856450924	2.718161356624121
7	d	<pydub.audio_segment.AudioSegment object at 0x1121dbe80>	./audios_train/d.wav	-423.439347955092	63.93687761061662	8.113148593773827	17.567234105144728	13.595115826057702	12.145875786052404	1.173121783774925	6.187835512105576	1.6984089324738283	2.737336401766433
8	c	<pydub.audio_segment.AudioSegment object at 0x1121db4e0>	./audios_train/c.wav	-571.4889341406082	49.251232270258235	33.067257153858726	28.819995817986563	12.557847643751566	15.532674114850085	3.5312491571479336	-4.6814163193965985	-4.619096374317084	3.761562929828493
9	6	<pydub.audio_segment.AudioSegment object at 0x1121e9710>	./audios_train/6.wav	-418.97822880906017	67.87401419973249	-30.243338031704234	16.4767363425251	23.115471556426083	-16.799015125052577	-1.5871100108697613	5.858620435561972	-8.578356890907099	0.6837448450698085
10	b	<pydub.audio_segment.AudioSegment object at 0x1121e9f28>	./audios_train/b.wav	-443.0643516021062	63.47115921471282	-2.112040506475985	15.072532010231606	13.510163890828073	3.3219487942130224	5.5543194841974675	2.194743687142114	-0.8704603708379443	2.4504401309555655
11	7	<pydub.audio_segment.AudioSegment object at 0x1121e9f60>	./audios_train/7.wav	-433.3225114353283	104.6578404477059	-3.7148246713263116	24.094312392218455	19.443834079329132	16.270246936898168	15.321092366925848	2.915996453099358	4.669807519412721	3.6477398366938134
12	d	<pydub.audio_segment.AudioSegment object at 0x1121e95c0>	./audios_train/d.wav	-558.9537415664324	97.00848535038715	-24.80293748315036	10.52653166916814	-23.509406887854084	3.197361904429644	-7.986759423329625	-18.143415566517508	-7.585984351717155	-26.611177477774127
13	h	<pydub.audio_segment.AudioSegment object at 0x1121f47b8>	./audios_train/h.wav	-421.8562091547009	95.71605612809437	-13.623789163327412	-1.548896185168568	15.319165576094663	4.814759661434803	9.922023399764914	4.389772041423811	-0.1875834477200699	-0.3364664991225533
14	d	<pydub.audio_segment.AudioSegment object at 0x1121f4eb8>	./audios_train/d.wav	-412.42331279746355	76.74472969031531	0.4791782573938673	7.361370208558788	12.38501316511099	1.3844337012220447	2.213830512555741	0.1557277568335512	-1.9982502838555236	-3.0056524797270647
15	h	<pydub.audio_segment.AudioSegment object at 0x1121f4fd0>	./audios_train/h.wav	-353.4245988254555	149.08250235606258	-16.218415940286288	24.706990745307678	10.938778678597634	-11.423901309773079	7.564376445796066	-0.39965447983165064	1.2516435285969558	0.799882356592423
16	x	<pydub.audio_segment.AudioSegment object at 0x1121f4668>	./audios_train/x.wav	-374.2098422831598	53.61631113558776	-3.512488047175484	27.341962706175142	8.553686463775573	15.236084975313538	0.371342032773624	7.351024824538747	0.2728402716527895	6.192099924044678
17	n	<pydub.audio_segment.AudioSegment object at 0x1121fb898>	./audios_train/n.wav	-256.185530641653	131.5719042898319	42.881913697514435	12.59140321426298	6.290168504231727	-0.2117777609435408	-1.001489883197633	-3.1401865482254796	5.1510222915717625	1.4417535398980843
18	m	<pydub.audio_segment.AudioSegment object at 0x112201128>	./audios_train/m.wav	-310.44595783858114	107.01496884850548	30.213690277680666	13.77152510007828	1.8980848599730546	0.006871000502641546	0.134029299196273	0.04813519641772321	2.9824838710310813	1.9600394204106852
19	d	<pydub.audio_segment.AudioSegment object at 0x1121fbf98>	./audios_train/d.wav	-378.628044541057	136.58600423732457	17.10134595398899	20.534831660560954	-22.779655314390293	-13.730238871433025	2.7361459590495576	-3.12287498007196	2.9633367900859056	-3.099183962548051
20	h	<pydub.audio_segment.AudioSegment object at 0x1121fb748>	./audios_train/h.wav	-375.7242956423403	106.90981979311329	19.26324845816915	1.7143577677031003	-7.109813347891981	2.120414380903271	-1.8602279661123344	7.006139934985146	-0.26162492637371826	3.075988606343218
21	a	<pydub.audio_segment.AudioSegment object at 0x112201978>	./audios_train/a.wav	-266.4614636740411	133.5775287689874	45.810257143426924	0.2387723944612987	-4.381679429219512	-5.599805998059212	0.3128418472298674	3.3755318649107435	8.361614942748826	-0.32416635145177436
